;nu_Contrato;qtdContratosAditivos
4072;213062014;1
4071;213012014;1
4070;212522014;1
4069;212512014;1
4075;213162014;1
4084;214162013;1
4060;212222014;1
4058;212202014;1
4026;208082015;1
4027;208092015;1
4029;208112015;1
4030;208122014;1
4031;208132014;1
4032;208142014;1
4034;208272014;1
4035;209012014;1
474;00032011A;1
473;000312016;1
4037;209072013;1
4038;209232014;1
4039;210022005;1
4040;210022010;1
4041;210032015;1
4043;211122014;1
4044;211142015;1
4057;212192014;1
4056;212182014;1
4055;212172014;1
4054;212162014;1
4053;212152014;1
4052;212142014;1
4059;212212014;1
4051;212132014;1
4049;212022015;1
4048;212012015;1
4047;212012014;1
4046;211232014;1
463;000312006;1
4045;211202014;1
4050;212042015;1
4025;208072015;1
4085;214202015;1
4087;214252015;1
4135;240242013;1
4136;250032015;1
4137;250242015;1
4138;250332015;1
4139;250372014;1
4140;250382015;1
4141;250532014;1
4142;250682014;1
4143;250692014;1
4145;260012014;1
4146;260022010;1
4148;261072015;1
4149;269012015;1
4150;280002011;1
4152;280052015;1
4154;281112015;1
4155;300012009;1
4174;300582005;1
4172;300472006;1
4169;300332005;1
4167;300222013;1
4166;300192005;1
4165;300102015;1
4134;233012014;1
4164;300082005;1
4162;300042004;1
337;000232003;1
4159;300032010;1
4158;300022013;1
4157;300022009;1
4156;300012013;1
4163;300052011;1
4086;214212015;1
4133;232012014;1
4132;231012014;1
4090;214312013;1
4091;214312014;1
4092;214312015;1
405;000282003;1
4094;214322015;1
4096;214352015;1
4103;214442014;1
4105;214462014;1
4106;214472014;1
4109;214582014;1
4111;214612014;1
4112;214642014;1
4113;214652014;1
4114;214682014;1
4115;214702014;1
4116;214742014;1
383;000262008;1
4131;230012014;1
4130;230012013;1
4129;222012014;1
4128;221012015;1
4127;220022013;1
4126;220022010;1
365;000252004;1
4125;220022005;1
376;000252016;1
4122;214942015;1
4120;214872014;1
4119;214842014;1
4118;214822014;1
4117;214752014;1
4124;220012014;1
4175;300672006;1
4024;208062015;1
4020;207082014;1
3907;164372014;1
601;000402016;1
3908;164492015;1
3909;164512015;1
3910;164672015;1
3913;164862015;1
3914;165102014;1
3916;165162014;1
3917;165332014;1
3918;165342014;1
3919;165352014;1
3920;165362014;1
589;000402003;1
3921;165612015;1
587;0003C2012;1
586;0003B2012;1
585;0003B2010;1
3936;186012015;1
3934;185012015;1
3932;180002012;1
3930;170012015;1
3929;16ADM2011;1
3927;166592015;1
3906;164362014;1
3926;166202015;1
3924;166052015;1
3923;165902014;1
580;0003A2005;1
581;0003A2007;1
582;0003A2008;1
1119;000792002;1
3925;166062014;1
568;000392004;1
3905;164122014;1
3902;164012015;1
3852;160822015;1
646;000442008;1
3854;160842015;1
3856;160882014;1
642;000442004;1
641;000442002;1
